image_name,iou_score
healthy_73.jpg,0.0499
rust_10.jpg,0.0823
rust_74.jpg,0.0188
scab_65.jpg,0.1089
healthy_94.jpg,0.2006
scab_36.jpg,0.0214
scab_64.jpg,0.1658
healthy_8.jpg,0.101
healthy_18.jpg,0.0283
healthy_65.jpg,0.0613
healthy_48.jpg,0.0215
healthy_2.jpg,0.0732
healthy_39.jpg,0.0204
scab_86.jpg,0.0173
scab_11.jpg,0.1602
rust_41.jpg,0.0396
rust_62.jpg,0.0253
rust_45.jpg,0.0543
rust_69.jpg,0.0377
healthy_52.jpg,0.0701
rust_82.jpg,0.0575
healthy_24.jpg,0.1287
rust_48.jpg,0.0705
scab_53.jpg,0.0622
healthy_13.jpg,0.2247
rust_84.jpg,0.0875
healthy_85.jpg,0.0178
rust_59.jpg,0.1465
healthy_19.jpg,0.1028
scab_48.jpg,0.1722
healthy_75.jpg,0.0235
rust_18.jpg,0.0084
scab_74.jpg,0.1774
rust_43.jpg,0.0007
healthy_25.jpg,0.1148
rust_8.jpg,0.0267
healthy_41.jpg,0.0724
scab_98.jpg,0.1337
rust_86.jpg,0.0603
rust_85.jpg,0.0716
scab_14.jpg,0.0589
healthy_61.jpg,0.1225
scab_37.jpg,0.0942
rust_68.jpg,0.0414
healthy_32.jpg,0.0399
scab_84.jpg,0.0977
healthy_45.jpg,0.0897
scab_80.jpg,0.0434
scab_38.jpg,0.0507
scab_96.jpg,0.0688
healthy_59.jpg,0.0101
scab_25.jpg,0.0654
rust_94.jpg,0.0317
healthy_36.jpg,0.005
healthy_55.jpg,0.003
healthy_58.jpg,0.082
rust_27.jpg,0.0917
healthy_30.jpg,0.0419
rust_72.jpg,0.1123
healthy_50.jpg,0.0409
rust_64.jpg,0.0528
healthy_95.jpg,0.0721
healthy_63.jpg,0.074
scab_15.jpg,0.026
rust_71.jpg,0.046
healthy_29.jpg,0.105
healthy_38.jpg,0.1381
rust_58.jpg,0.0983
healthy_42.jpg,0.1866
healthy_35.jpg,0.0322
scab_12.jpg,0.0272
scab_16.jpg,0.1219
rust_46.jpg,0.0617
healthy_74.jpg,0.1023
healthy_16.jpg,0.0877
scab_43.jpg,0.0511
